expansion_rank,nta_name,borough,demand_score,population,gap_population,median_income,no_vehicle_rate,transit_share,bus_stop_count,proposed_stations,proposed_docks,centroid_lat,centroid_lon
1,Parkchester,Bronx,0.6699,30221.0,30221.0,59699.77085470368,0.6883327033626354,0.636769163043893,37,2,46,40.837658367837705,-73.85824711480167
2,Brownsville,Brooklyn,0.621,54529.0,30769.0,33493.55198151442,0.7136233055721469,0.6746806168540986,89,4,92,40.66356612658033,-73.9097570122749
3,East Flatbush-Remsen Village,Brooklyn,0.5695,38460.0,23985.0,57610.916302652106,0.6000615889861526,0.6105656143564472,63,2,46,40.65619499931365,-73.91921126714466
4,Soundview-Bruckner-Bronx River,Bronx,0.5537,67145.0,46157.0,41358.61471442401,0.6354602260137824,0.609530150747956,54,4,92,40.82993979533235,-73.87347581774652
5,Allerton,Bronx,0.5393,35581.0,30576.0,46623.311374047946,0.5779694832359076,0.5952136923613784,31,2,46,40.864398012582015,-73.86496908059138
6,Cypress Hills,Brooklyn,0.5309,40786.0,37786.0,-100598282.5251802,0.5344475956198589,0.5174897854932684,47,3,69,40.68294056457917,-73.87994230362226
7,East New York-City Line,Brooklyn,0.5229,49066.0,49066.0,50859.716891533855,0.6048297831169414,0.5872653895916675,82,4,92,40.673517270543215,-73.86707280879227
8,Jamaica,Queens,0.4892,58368.0,58368.0,61787.49847519189,0.5224284005581236,0.5665077966808922,174,6,138,40.704531718216856,-73.79790819600889
9,East New York-New Lots,Brooklyn,0.4777,53067.0,53067.0,58086.81274615109,0.5653605853164594,0.5661709815106223,109,6,138,40.66184755818299,-73.88699548230171
10,East New York (North),Brooklyn,0.4745,44062.0,37370.0,57841.430733965775,0.5204131088977059,0.55902889801594,59,3,69,40.6719535242494,-73.88847898646628
11,Westchester Square,Bronx,0.4513,15793.0,15793.0,52577.73272969037,0.5350379703457384,0.5502181901816801,33,2,46,40.83866635813962,-73.84763031728698
12,Pelham Parkway-Van Nest,Bronx,0.4478,29915.0,29915.0,72624.71646331272,0.4576824544443433,0.5161521187696547,37,2,46,40.84937921001458,-73.86559302380181
13,Soundview-Clason Point,Bronx,0.4382,31934.0,31934.0,-81682289.62269054,0.47753567229511784,0.46040214452135475,55,4,92,40.81841440666299,-73.86225706696715
14,Brighton Beach,Brooklyn,0.4377,25031.0,25031.0,43128.4494027406,0.6470982458559776,0.39833593415770624,38,2,46,40.579229442467025,-73.96184111461271
15,Williamsbridge-Olinville,Bronx,0.426,59256.0,49428.0,55609.16919805589,0.48618694601165824,0.5112401764400671,47,4,92,40.87979076419116,-73.86128760089237
